Nodes;Id;Label;Weight;Weight2
1;2;Hêlios;1;1
2;4;Sarapis;1;1
3;1;Zeus;6;8
4;3;Megas;1;1
5;7;Kedrieus;2;2
6;5;Apollôn;4;5
7;6;Puthios;3;3
8;9;Hêra;3;3
9;10;Epêkoos;2;2
10;8;Kurios;1;1
11;11;Ammôn;1;1
12;12;Chnoubis;1;1
13;15;Anoukis;1;1
14;14;Hestia;2;2
15;13;Satis;1;1
16;17;Sôtêr;5;6
17;21;Theos;1;1
18;22;Artemis;2;2
19;23;Athêna;2;2
20;24;Boulaios;1;2
21;31;Phleos;1;1
22;30;Dionusos;1;1
23;33;Karpodotês;1;1
24;32;Brontôn;1;1
25;34;Eucharistos;1;1
26;26;Kalumnas-Medeôn;1;1
27;25;Dêlios;1;1
28;19;Aphroditê;1;1
29;18;Astartê;1;1
30;20;Euploia;1;1
31;16;Isis;1;1
32;27;Hugieia;1;1
33;29;Alexiponos;1;1
34;28;Telesphoros;1;1
35;35;Asklêpios;1;1
